,station_code,direction,drop
0,310,up,"[1, 9]"
1,310,down,"[2, 9]"
2,311,up,"[1, 9]"
3,311,down,"[2, 10]"
4,312,up,"[4, 7]"
5,312,down,"[4, 7]"
6,314,up,"[4, 8]"
7,314,down,"[3, 7]"
8,326,up,"[2, 9]"
9,326,down,"[2, 9]"
10,327,up,"[4, 9]"
11,327,down,"[4, 7]"
12,329,up,"[4, 7, 9]"
13,329,down,"[2, 4, 7]"
14,331,up,"[4, 9]"
15,331,down,"[3, 7]"
16,332,up,"[3, 8]"
17,332,down,"[3, 7]"
18,410,up,"[4, 7]"
19,410,down,"[1, 7]"
20,411,up,"[4, 7, 10]"
21,411,down,"[1, 4, 7]"
22,412,up,"[3, 9]"
23,412,down,[2]
24,413,up,"[2, 7]"
25,413,down,"[2, 7]"
26,414,up,"[2, 7]"
27,414,down,"[2, 7]"
28,416,up,"[2, 6]"
29,416,down,"[3, 7]"
30,417,up,"[2, 9]"
31,417,down,"[2, 9]"
32,418,up,"[4, 7]"
33,418,down,"[4, 7]"
34,420,up,"[2, 7]"
35,420,down,"[2, 7]"
36,424,up,"[1, 10]"
37,424,down,"[1, 10]"
38,432,up,"[4, 7, 10]"
39,432,down,"[1, 2, 7]"
